Normal,Fire,Water,Grass,Electric,Ice,Rock,Ground,Flying,Psychic,Fighting,Bug,Poison,Ghost,Dragon,Dark,Steel,Fairy
1,1,1,1,1,1,0.5,1,1,1,1,1,1,0,1,1,0.5,1
1,0.5,0.5,2,1,2,0.5,1,1,1,1,2,1,1,0.5,1,2,1
1,2,0.5,0.5,1,1,2,2,1,1,1,1,1,1,0.5,1,1,1
1,0.5,2,0.5,1,1,2,2,0.5,1,1,0.5,0.5,1,0.5,1,0.5,1
1,1,2,0.5,0.5,1,1,0,2,1,1,1,1,1,0.5,1,1,1
1,0.5,0.5,2,1,0.5,1,2,2,1,1,1,1,1,2,1,0.5,1
1,2,1,1,1,2,1,0.5,2,1,0.5,2,1,1,1,1,0.5,1
1,2,1,0.5,2,1,2,1,0,1,1,0.5,2,1,1,1,2,1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,